0,1,0,0.53,0.42,0.135,0.677,0.2565,0.1415,0.21,9
1,0,0,0.44,0.365,0.125,0.516,0.2155,0.114,0.155,10
0,1,0,0.525,0.38,0.14,0.6065,0.194,0.1475,0.21,14
1,0,0,0.5,0.4,0.13,0.6645,0.258,0.133,0.24,12
0,0,1,0.355,0.28,0.085,0.2905,0.095,0.0395,0.115,7
0,1,0,0.565,0.44,0.155,0.9395,0.4275,0.214,0.27,12
0,1,0,0.45,0.355,0.105,0.5225,0.237,0.1165,0.145,8
0,1,0,0.45,0.335,0.105,0.425,0.1865,0.091,0.115,9
0,0,1,0.24,0.175,0.045,0.07,0.0315,0.0235,0.02,5
0,1,0,0.46,0.375,0.12,0.4605,0.1775,0.11,0.15,7
0,0,1,0.325,0.245,0.07,0.161,0.0755,0.0255,0.045,6
0,1,0,0.525,0.425,0.16,0.8355,0.3545,0.2135,0.245,9
1,0,0,0.485,0.36,0.13,0.5415,0.2595,0.096,0.16,10
0,1,0,0.625,0.495,0.165,1.262,0.507,0.318,0.39,10
1,0,0,0.53,0.415,0.14,0.724,0.3105,0.1675,0.205,10
0,1,0,0.545,0.43,0.165,0.802,0.2935,0.183,0.28,11
0,0,1,0.435,0.32,0.08,0.3325,0.1485,0.0635,0.105,9
0,1,0,0.47,0.365,0.105,0.4205,0.163,0.1035,0.14,9
1,0,0,0.71,0.54,0.165,1.959,0.7665,0.261,0.78,18
0,0,1,0.35,0.26,0.095,0.211,0.086,0.056,0.068,7
0,1,0,0.405,0.325,0.11,0.3555,0.151,0.063,0.117,9
1,0,0,0.46,0.35,0.12,0.515,0.224,0.108,0.1565,10
0,0,1,0.28,0.205,0.08,0.127,0.052,0.039,0.042,9
1,0,0,0.515,0.405,0.13,0.722,0.32,0.131,0.21,10
0,1,0,0.575,0.46,0.19,0.994,0.392,0.2425,0.34,13
0,1,0,0.58,0.455,0.17,0.9075,0.374,0.2135,0.285,13
1,0,0,0.61,0.485,0.175,1.2445,0.544,0.297,0.345,12
